ID,Name,City,Gender,Height,C1,C2,C3,C4,C5,C6,C7,C8,C9,Constitution
202001,Marks,Shenzhen,boy,1.66,77.0,100.0,84.0,71.0,91.0,6.0,7.0,6,8,50
202002,Wayne,Shenzhen,girl,1.59,77.0,78.0,89.0,59.0,93.0,10.0,6.0,5,9,75
202003,Bonnie,Guangzhou,girl,1.57,80.0,81.0,81.0,54.0,91.0,9.0,6.0,7,8,75
202004,Grace,Guangzhou,boy,1.68,82.0,62.0,81.0,61.0,89.0,9.0,7.0,8,5,50
202005,Hayden,Shanghai,boy,1.68,85.0,82.0,91.0,60.0,92.0,9.0,10.0,9,8,100
202006,Chelsea,Guangzhou,girl,1.63,79.0,74.0,82.0,74.0,89.0,10.0,10.0,8,9,50
202007,Dylan,Shenzhen,girl,1.54,83.0,76.0,85.0,75.0,93.0,7.0,7.0,10,9,50
202008,Yolanda,Shanghai,boy,1.74,82.0,69.0,80.0,67.0,90.0,9.0,7.0,10,8,50
202011,Franklin,Guangzhou,boy,1.61,83.0,79.0,75.0,78.0,92.0,7.0,6.0,7,7,75
202012,Phyllis,Shenzhen,girl,1.61,80.0,79.0,91.0,59.0,93.0,10.0,9.0,8,9,50
202013,Donald,Beijing,boy,1.63,82.0,73.0,83.0,70.0,89.0,10.0,6.0,10,4,50
202014,Joy,Guangzhou,girl,1.61,80.0,91.0,85.0,65.0,89.0,10.0,6.0,8,5,75
202015,Josephine,Shanghai,boy,1.75,77.0,70.0,86.0,86.0,89.0,10.0,9.0,8,7,100
202016,Rebecca,Guangzhou,girl,1.6,81.0,79.0,85.0,59.0,86.0,10.0,10.0,8,8,50
202017,Dolores,Shanghai,boy,1.68,82.0,86.0,86.0,75.0,87.0,9.0,5.0,10,9,50
202018,Sierra,Shanghai,boy,1.61,77.0,93.0,79.0,79.0,89.0,5.0,8.0,10,10,75
202019,Stanley,Guangzhou,girl,1.63,83.0,83.0,89.0,70.0,89.0,8.0,6.0,6,6,25
202020,Hank,Beijing,boy,1.77,75.0,60.0,87.0,66.0,88.0,9.0,6.0,10,5,50
202021,Adelaide,Beijing,girl,1.47,83.0,82.0,87.0,71.0,89.0,5.0,10.0,10,7,75
202022,Megan,Shenzhen,girl,1.6,76.0,78.0,87.0,68.0,86.0,7.0,10.0,10,6,50
202023,Duke,Shanghai,boy,1.67,75.0,66.0,86.0,71.0,90.0,6.0,6.0,10,8,25
202024,Teresa,Shenzhen,boy,1.63,79.0,59.0,83.0,69.0,93.0,7.0,10.0,9,6,50
202025,Victoria,Shenzhen,girl,1.53,81.0,84.0,91.0,63.0,91.0,9.0,8.0,9,8,50
202026,Donna,Shenzhen,boy,1.66,74.0,84.0,85.0,69.0,91.0,5.0,6.0,10,5,75
202027,Angelina,Beijing,boy,1.64,79.0,54.0,86.0,70.0,89.0,5.0,8.0,10,9,75
202028,Jeffery,Shanghai,boy,1.71,81.0,81.0,88.0,65.0,89.0,6.0,8.0,6,4,75
